
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
1840-06-21   | 00:00:00   | 06h38m12s    | 23°54'12"    | 0.01 AU      | 9.036°
1850-06-21   | 00:00:00   | 04h25m51s    | 20°11'34"    | 0.01 AU      | 21.378°
1860-06-21   | 00:00:00   | 06h56m27s    | 23°30'14"    | 0.01 AU      | 13.077°
1870-06-21   | 00:00:00   | 04h13m17s    | 20°02'18"    | 0.01 AU      | 24.432°
1880-06-21   | 00:00:00   | 07h13m13s    | 22°58'08"    | 0.01 AU      | 16.813°
1890-06-21   | 00:00:00   | 04h10m36s    | 20°16'13"    | 0.01 AU      | 25.141°
1900-06-21   | 00:00:00   | 07h20m37s    | 22°38'18"    | 0.01 AU      | 19.358°
1910-06-21   | 00:00:00   | 04h09m16s    | 20°27'46"    | 0.01 AU      | 24.589°
1920-06-21   | 00:00:00   | 07h32m59s    | 22°01'10"    | 0.01 AU      | 22.132°
1930-06-21   | 00:00:00   | 04h17m47s    | 21°06'51"    | 0.01 AU      | 22.657°
1940-06-21   | 00:00:00   | 07h41m27s    | 21°26'28"    | 0.01 AU      | 24.017°
1950-06-21   | 00:00:00   | 04h30m07s    | 21°50'29"    | 0.01 AU      | 19.850°
1960-06-21   | 00:00:00   | 07h44m22s    | 21°00'13"    | 0.01 AU      | 24.620°
1970-06-21   | 00:00:00   | 04h45m12s    | 22°33'19"    | 0.01 AU      | 16.438°
1980-06-21   | 00:00:00   | 07h39m29s    | 20°48'56"    | 0.01 AU      | 23.391°
1990-06-21   | 00:00:00   | 05h02m16s    | 23°11'16"    | 0.01 AU      | 12.612°
2000-06-21   | 00:00:00   | 07h23m51s    | 20°56'46"    | 0.01 AU      | 19.642°

PLANET: VENUS
Date         | Time       | RA           | Dec          | Dist         | Elongation
--------------------------------------------------------------------------------
1000-06-21   | 00:00:00   | 04h45m45s    | 19°39'53"    | 0.00 AU      | 17.096°
1010-06-21   | 00:00:00   | 03h35m18s    | 17°46'55"    | 0.01 AU      | 33.263°
1020-06-21   | 00:00:00   | 06h14m24s    | 23°57'07"    | 0.02 AU      | 3.757°
1030-06-21   | 00:00:00   | 08h42m54s    | 19°57'04"    | 0.01 AU      | 38.711°
1040-06-21   | 00:00:00   | 03h51m45s    | 17°07'05"    | 0.00 AU      | 30.383°
1050-06-21   | 00:00:00   | 03h47m20s    | 18°36'58"    | 0.01 AU      | 30.571°
